title,brand,image_url,priced_before,discount_percent,current_price,size
Pants with Insert Pockets,Teamspirit,https://assets.ajio.com/medias/sys_master/root/h4f/h3e/15785537503262/-286Wx359H-441050919-black-MODEL.jpg,699,30% off,489,[M-L]
Floral Print Straight Kurta,AVAASA MIX N' MATCH,https://assets.ajio.com/medias/sys_master/root/h27/he5/15624246034462/-286Wx359H-441057622-ltgreen-MODEL.jpg,499,30% off,349,[XS-S-M-L-XL-XXL]
Mid-Rise Joggers with Contrast Stripes,Teamspirit,https://assets.ajio.com/medias/sys_master/root/he9/h19/12575010750494/-286Wx359H-440781271-charcoal-OUTFIT.jpg,599,51% off,294,[S-M-L-XL-XXL]
Striped A-line Kurta with Asymmetrical Hemline,AVAASA MIX N' MATCH,https://assets.ajio.com/medias/sys_master/root/hf4/heb/14564826152990/-286Wx359H-441023431-yellow-MODEL.jpg,999,49% off,509,[XS-S-M-L-XL-XXL]
Printed Straight Kurta,AVAASA MIX N' MATCH,https://assets.ajio.com/medias/sys_master/root/h10/h8b/16980209893406/-286Wx359H-441064190-magntafusha-MODEL.jpg,499,30% off,349,[XS-S-M-XXL]
Pack of 3 Printed Tops,INF FRENDZ,https://assets.ajio.com/medias/sys_master/root/h53/h6a/15235590291486/-286Wx359H-441021045-assorted-MODEL.jpg,699,49% off,356,[0-6M-6-12M]
Printed A-line Tunic with Tie-up Detail,AJIO,https://assets.ajio.com/medias/sys_master/root/hb6/hb2/13603546988574/-286Wx359H-460343551-mustard-MODEL.jpg,799,70% off,240,[XS-S-L-XL]
Striped Polo T-shirt,YB DNMX,https://assets.ajio.com/medias/sys_master/root/h29/he3/14498794962974/-286Wx359H-441031085-mustard-MODEL.jpg,499,49% off,254,[9-10Y-11-12Y-13-14Y-15-16Y]
Printed Flared Kurta with Mock-Buttons,AVAASA MIX N' MATCH,https://assets.ajio.com/medias/sys_master/root/h95/ha1/14491772715038/-286Wx359H-441023391-teal-MODEL.jpg,1499,49% off,764,[XS-S-M-L-XL-XXL]
High-Rise Schiffli Embroidered Palazzos,AVAASA MIX N' MATCH,https://assets.ajio.com/medias/sys_master/root/h6a/he1/15163333247006/-286Wx359H-441034997-white-MODEL.jpg,899,30% off,629,[S-M-L]
Mid-Rise Track Pants with Drawstring Fastening,Teamspirit,https://assets.ajio.com/medias/sys_master/root/hb0/h55/13554535694366/-286Wx359H-440997088-black-MODEL.jpg,699,51% off,343,[S-XXL]
Typographic Print Crew-Neck T-shirt,DNMX,https://assets.ajio.com/medias/sys_master/root/h65/h9e/15203924082718/-286Wx359H-441052299-greymelange-MODEL.jpg,299,40% off,179,[XS-S-M-L-XL]
Mid-Rise Joggers with Contrast Stripes,Teamspirit,https://assets.ajio.com/medias/sys_master/root/h9c/h2f/12574570381342/-286Wx359H-440781271-greymelange-OUTFIT.jpg,599,51% off,294,[S-M-L-XL-XXL]
Graphic Print Crew-Neck T-shirt,DNMX,https://assets.ajio.com/medias/sys_master/root/h21/heb/15226271924254/-286Wx359H-441037203-ecrumelange-MODEL.jpg,299,30% off,209,[XS-S-M-L-XL]
Ankle-Length Skinny Jeans,RIO,https://assets.ajio.com/medias/sys_master/root/hcc/h77/14534158417950/-286Wx359H-441006028-darkblue-MODEL.jpg,1199,51% off,588,[26-28-30-32-34]
Panelled Joggers with Placement Print,KB TEAM SPIRIT,https://assets.ajio.com/medias/sys_master/root/h51/he5/14646381740062/-286Wx359H-441010609-khaki-MODEL.jpg,699,49% off,356,[2-3Y-3-4Y-5-6Y-7-8Y]
High-Rise Mid-Wash Jeans,DNMX,https://assets.ajio.com/medias/sys_master/root/h12/h19/14798139555870/-286Wx359H-441020227-darkblue-MODEL.jpg,1299,49% off,662,[28-30-32-34]
Floral Print A-line Kurta with Embroidery,AVAASA MIX N' MATCH,https://assets.ajio.com/medias/sys_master/root/h30/h1e/14710197780510/-286Wx359H-441023398-lime-MODEL.jpg,1699,49% off,866,[XS-S-M-L-XL-XXL]
Checked Slim Fit Shirt with Patch Pocket,NETPLAY,https://assets.ajio.com/medias/sys_master/root/h25/h5d/15647461933086/-286Wx359H-441036973-ltpink-MODEL.jpg,999,40% off,599,[S-M-L-XL-XXL]
Floral Print High-Low Straight Kurta,FUSION,https://assets.ajio.com/medias/sys_master/root/h25/hbd/15100120825886/-286Wx359H-441052834-ltpink-MODEL.jpg,499,30% off,349,[XS-S-M-L-XL-XXL]
Trackpants with Elasticated Waistband,Teamspirit,https://assets.ajio.com/medias/sys_master/root/hdc/h3b/9025902379038/-286Wx359H-447000066-black-OUTFIT.jpg,399,NA,399,[S-M-XL-XXL]
