title,brand,image_url,priced_before,discount_percent,current_price,size
Bengal Handloom Pure Tussar Silk Sequined Saree,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h76/h5c/15879785447454/-286Wx359H-460542501-pink-MODEL.jpg,14999,65% off,5250,[FS]
Handloom Bengal Pure Silk Matka Jamdani Saree,Indie Picks,https://assets.ajio.com/medias/sys_master/root/hf5/h21/15164074295326/-286Wx359H-460542584-green-MODEL.jpg,17999,70% off,5400,[FS]
Pochampally Woven Ikat Cotton Saree,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h48/h8c/16912539189278/-286Wx359H-460624361-blue-MODEL.jpg,7999,50% off,4000,[FS]
Hand-Embroidered South Cotton Straight Kurta,Indie Picks,https://assets.ajio.com/medias/sys_master/root/he4/hcd/15278383497246/-286Wx359H-460516386-maroon-MODEL.jpg,2499,70% off,750,[S-M-L-XL-XXL]
South Cotton Embroidered Straight Kurta,Indie Picks,https://assets.ajio.com/medias/sys_master/root/hd8/h02/15550474879006/-286Wx359H-460557137-grey-MODEL.jpg,2499,70% off,750,[XS-S-M-L-XL]
Kerala Kasavu Saree with Contrast Zari Border,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h27/hd6/15234259058718/-286Wx359H-460551712-white-OUTFIT.jpg,2499,70% off,750,[FS]
Checked Saree with Zari Tissue Border,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h9c/h70/14146707652638/-286Wx359H-460454748-multi-OUTFIT.jpg,1799,75% off,450,[FS]
South Cotton Dobby Top with Notched Round Neck,Indie Picks,https://assets.ajio.com/medias/sys_master/root/he3/hd5/16908088639518/-286Wx359H-460611323-red-MODEL.jpg,799,65% off,280,[XS-S-M-L-XL]
Handloom Bengal Cotton Silk Jamdani Buti Saree,Indie Picks,https://assets.ajio.com/medias/sys_master/root/hd1/h14/15520017154078/-286Wx359H-460542895-blue-MODEL.jpg,2999,60% off,1200,[FS]
Handloom Bhagalpur Pure Silk Tussar Katia Saree,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h3c/heb/14960277192734/-286Wx359H-460380107-multi-OUTFIT.jpg,9999,76% off,2400,[FS]
